Garhwali,RomanGarhwali,Hindi,English
मि तैं मदद करा,mi tain mdd kra,मुझे मदद करो,Help me.
मि तैं एकल छोड़ द्या,mi tain ekl chhod dya,मुझे अकेला छोड़ दो,Leave me alone.
यु मुश्किल छ,yu mushkil ch,यह मुश्किल है,This is difficult.
यु आसान छ,yu asan ch,यह आसान है,This is easy.
क्या सोचणू छा तुम?,kya sochu chha tum,तुम क्या सोचते हो?,What do you think?
मि तैं लगदुं छ कि...,mi tain lgdun ch ki...,मुझे लगता है...,I think that...
क्या तुम तैयार छा?,kya tum taiyar chha,क्या तुम तैयार हो?,Are you ready?
"हाँ, मी तैयार छौं",han mi taiyar chhaun,"हाँ, मैं तैयार हूँ","Yes, I am ready."
"न, मी तैयार नी छौं",n mi taiyar ni chhaun,"नहीं, मैं तैयार नहीं हूँ","No, I am not ready."
खुश रया,khush rya,खुश रहो,Be happy.
दुखि नी होलु,dukhi ni holu,दुखी मत हो,Don't be sad.
म्यार दगड़ी औवा,myar dgi auwa,मेरे साथ आओ,Come with me.
मि तैं कुजाणी,mi tain kujai,मुझे नहीं पता,I don't know.
तुम कख जानू छा?,tum kkh janu chha,तुम कहाँ जा रहे हो?,Where are you going?
यु मेरु छ,yu meru ch,यह मेरा है,This is mine.
मी त्वैं प्यार करदू छौं,mi twain pyar krdu chhaun,मैं तुम्हें प्यार करता हूँ,I love you.
मि तैं त्वे से ब्योली प्यार छ,mi tain twe se byoli pyar ch,मुझे तुमसे बहुत प्यार है,I love you very much.
तुम ब्योली भलू छा,tum byoli bhlu chha,तुम बहुत अच्छे हो,You are very good.
तुम म्यार दगड़्या छा,tum myar dgya chha,तुम मेरे दोस्त हो,You are my friend.
तुम म्यार भैजी/भुला छा,tum myar bhaiji/bhula chha,तुम मेरे भाई हो,You are my brother.
तुम म्यार दीदी/भुली छा,tum myar didi/bhuli chha,तुम मेरी बहन हो,You are my sister.
मी खुश छौं,mi khush chhaun,मैं खुश हूँ,I am happy.
मी दुखि छौं,mi dukhi chhaun,मैं दुखी हूँ,I am sad.
मि तैं गुस्सै औणू छ,mi tain gussai auu ch,मुझे गुस्सा आ रहा है,I am getting angry.
शांत रया,shant rya,शांत रहो,Be quiet / Calm down.
क्या तुम मजाक करणू छा?,kya tum mjak kru chha,क्या तुम मजाक कर रहे हो?,Are you joking?
"न, मी गंभीर छौं",n mi gnbhir chhaun,"नहीं, मैं गंभीर हूँ","No, I am serious."
क्या तुम थक्या छा?,kya tum thkya chha,क्या तुम थके हो?,Are you tired?
"हाँ, मी थकी गयुं",han mi thki gyun,"हाँ, मैं थका हूँ","Yes, I am tired."
मी वापस औंदुं,mi waps aundun,मैं वापस आऊँगा,I will come back.
मी बाट देखुलुं,mi bat dekhulun,मैं इंतज़ार करूँगा,I will wait.
क्या तुम समझि ग्या?,kya tum smjhi gya,क्या तुम समझ गए?,Did you understand?
"हाँ, मी समझि गयुं",han mi smjhi gyun,"हाँ, मैं समझ गया","Yes, I understood."
यु ब्योली स्वादिष्ट छ,yu byoli swadisht ch,यह बहुत स्वादिष्ट है,This is very tasty.
यु म्यार फोन छ,yu myar phon ch,यह मेरा फोन है,This is my phone.
यु म्यार सामान छ,yu myar saman ch,यह मेरा सामान है,This is my luggage.
कृपया यख औवा,kripya ykh auwa,कृपया यहाँ आओ,Please come here.
कृपया वख जावा,kripya wkh jawa,कृपया वहाँ जाओ,Please go there.
मि तैं देखा,mi tain dekha,मुझे दिखाओ,Show me.
मि तैं बतावा,mi tain btawa,मुझे बताओ,Tell me.
क्या तुम सुणणू छा?,kya tum suu chha,क्या तुम सुन रहे हो?,Are you listening?
"हाँ, मी सुणणू छौं",han mi suu chhaun,"हाँ, मैं सुन रहा हूँ","Yes, I am listening."
क्या तुम देखणू छा?,kya tum dekhu chha,क्या तुम देख रहे हो?,Are you looking?
"हाँ, मी देखणू छौं",han mi dekhu chhaun,"हाँ, मैं देख रहा हूँ","Yes, I am looking."
यु सही नी छ,yu shi ni ch,यह सही नहीं है,This is not right.
यु सच छ,yu sch ch,यह सच है,This is true.
यु झूठ छ,yu jhuth ch,यह झूठ है,This is false / a lie.
तुम तैं क्या लगदुं छ?,tum tain kya lgdun ch,तुम्हें क्या लगता है?,What do you think?
म्यार हिसाब से...,myar hisab se...,मेरे हिसाब से...,According to me...
तुमरी क्या राय छ?,tumri kya ray ch,तुम्हारी क्या राय है?,What is your opinion?
यु नी करा,yu ni kra,यह मत करो,Don't do this.
इन किलै?,in kilai,ऐसा क्यों?,Why so?
किलैकि...,kilaiki...,क्योंकि...,Because...
मी भुली गयुं छौं,mi bhuli gyun chhaun,मैं भूल गया था,I had forgotten.
ये तैं याद रखा,ye tain yad rkha,इसे याद रखना,Remember this.
मि तैं यु खरीदणू छ,mi tain yu khridu ch,मुझे यह खरीदना है,I have to buy this.
मि तैं यु बेचणू छ,mi tain yu bechu ch,मुझे यह बेचना है,I have to sell this.
पैसा कदगा हुए?,paisa kdga hue,पैसे कितने हुए?,How much is the money?
यख औवा,ykh auwa,यहाँ आओ,Come here.
वख जावा,wkh jawa,वहाँ जाओ,Go there.
ऊपर जावा,upr jawa,ऊपर जाओ,Go up.
निळी औवा,nii auwa,नीचे आओ,Come down.
सीधा जावा,sidha jawa,सीधे जाओ,Go straight.
दांईं मुड़ा,danin muda,दाएं मुड़ो,Turn right.
बांईं मुड़ा,banin muda,बाएं मुड़ो,Turn left.
बाट देखावा,bat dekhawa,रास्ता दिखाओ,Show the way.
बाट कख छ?,bat kkh ch,रास्ता कहाँ है?,Where is the way?
न्यार छ,nyar ch,पास में है,It is near.
दूर छ,dur ch,दूर है,It is far.
क्या तुम ब्याया छा?,kya tum byaya chha,क्या तुम शादीशुदा हो?,Are you married?
"हाँ, मी ब्याया छौं",han mi byaya chhaun,"हाँ, मैं शादीशुदा हूँ","Yes, I am married."
"न, मी नी छौं",n mi ni chhaun,"नहीं, मैं नहीं हूँ","No, I am not."
तुमरा कदगा बच्छा छन?,tumra kdga bchcha chhn,आपके कितने बच्चे हैं?,How many children do you have?
म्यारा 6 बच्छा छन,myara snkhya bchcha chhn,मेरे 6 बच्चे हैं,I have 6 children.
म्यार एक नौनु छ,myar ek naunu ch,मेरा एक बेटा है,I have a son.
म्यार एक नौनी छ,myar ek nauni ch,मेरी एक बेटी है,I have a daughter.
तुम कख काम करणू छा?,tum kkh kam kru chha,तुम कहाँ काम करते हो?,Where do you work?
मी देहरादून मा काम करदू छौं,mi jgh ma kam krdu chhaun,मैं देहरादून में काम करता हूँ,I work in dehradun.
क्या खाणा छा तुम?,kya khaa chha tum,तुम क्या खाते हो?,What do you eat?
मी दाल-भात खादू छौं,mi dal-bhat khadu chhaun,मैं दाल-भात खाता हूँ,I eat dal-bhaat.
यु ब्योली मीठु छ,yu byoli mithu ch,यह बहुत मीठा है,This is very sweet.
यु ब्योली तीखु छ,yu byoli tikhu ch,यह बहुत तीखा है,This is very spicy.
मि तैं लूण छाही,mi tain lu chahi,मुझे नमक चाहिए,I need salt.
मि तैं मीर्छ छाही,mi tain mirch chahi,मुझे मिर्च चाहिए,I need chili.
मि तैं बूरा छाही,mi tain bura chahi,मुझे शक्कर चाहिए,I need sugar.
मि तैं भोक नी छ,mi tain bhok ni ch,मुझे भूख नहीं है,I am not hungry.
मि तैं तिरास नी छ,mi tain tiras ni ch,मुझे प्यास नहीं है,I am not thirsty.
क्या तुम खाणू बणै सकदा?,kya tum khau bai skda,क्या तुम खाना बना सकते हो?,Can you cook?
"हाँ, मी बणै सकदू छौं",han mi bai skdu chhaun,"हाँ, मैं बना सकता हूँ","Yes, I can."
"न, मी नी बणै सकदू",n mi ni bai skdu,"नहीं, मैं नहीं बना सकता","No, I cannot."
क्या तुम समय पर छा?,kya tum smy pr chha,क्या तुम समय पर हो?,Are you on time?
यु म्यार दगड़्या छ,yu myar dgya ch,यह मेरा दोस्त है,This is my friend.
यु म्यार दगड़्याणी छ,yu myar dgyai ch,यह मेरी सहेली है,This is my female friend.
तुमरा कदगा दगड़्या छन?,tumra kdga dgya chhn,तुम्हारे कितने दोस्त हैं?,How many friends do you have?
म्यारा ब्योली दगड़्या छन,myara byoli dgya chhn,मेरे बहुत दोस्त हैं,I have many friends.
म्यार पास कुई दगड़्या नी छ,myar pas kui dgya ni ch,मेरे पास कोई दोस्त नहीं है,I have no friends.
मि तैं नींद नी औंदी छ,mi tain nind ni aundi ch,मुझे नींद नहीं आ रही है,I am not feeling sleepy.
क्या तुम सुती ग्या?,kya tum suti gya,क्या तुम सो गए?,Did you sleep?
"हाँ, मी सुती गयुं",han mi suti gyun,"हाँ, मैं सो गया","Yes, I slept."
मी सुती नी पैयुं,mi suti ni paiyun,मैं सो नहीं पाया,I couldn't sleep.
यु कब तलक चललु?,yu kb tlk chllu,यह कब तक चलेगा?,How long will this last?
यु ब्योली मुश्किल छ,yu byoli mushkil ch,यह बहुत मुश्किल है,This is very difficult.
क्या तुम मदद कराला?,kya tum mdd krala,क्या तुम मदद करोगे?,Will you help?
"हाँ, मी मदद करुलुं",han mi mdd krulun,"हाँ, मैं मदद करूँगा","Yes, I will help."
धन्यवाद,dhnywad,धन्यवाद,Thank you.
तुमरु स्वागत छ,tumru swagt ch,आपका स्वागत है,You are welcome.
यु म्यार सम्मान छ,yu myar smman ch,यह मेरा सम्मान है,This is my honor.
सुबेर व्हेगी छ,suber vhegee ch,सुबह हो गई है,It's morning.
सांझ व्हेगी छ,saanjh vhegee ch,शाम हो गई है,It's evening.
रात व्हेगी छ,raat vhegee ch,रात हो गई है,It's night.
मि तैं सबेरे उठणु छ,mi tain sbere uthnu ch,मुझे सुबह उठना है,I have to wake up in the morning.
मि तैं रात मा सुतणु छ,mi tain raat maa sutnu ch,मुझे रात में सोना है,I have to sleep at night.
यु म्यार काम छ,yu myaar kaam ch,यह मेरा काम है,This is my work.
यु तेरु काम छ,yu teru kaam ch,यह तुम्हारा काम है,This is your work.
यु वेका काम छ,yu vekaa kaam ch,यह उनका काम है,This is his/her work.
मि तैं बाजार जाणु छ,mi tain baajaar jaanu ch,मुझे बाजार जाना है,I have to go to the market.
मि तैं स्कूल जाणु छ,mi tain skool jaanu ch,मुझे स्कूल जाना है,I have to go to school.
मि तैं ऑफिस जाणु छ,mi tain ऑphis jaanu ch,मुझे ऑफिस जाना है,I have to go to the office.
क्या तुम खाली छा?,kyaa tum khaalee chhaa?,क्या तुम खाली हो?,Are you free?
"हाँ, मी खाली छौं","haan, mee khaalee chhaun","हाँ, मैं खाली हूँ","Yes, I am free."
"न, मी व्यस्त छौं","n, mee vyst chhaun","नहीं, मैं व्यस्त हूँ","No, I am busy."
मि तैं यु समझणु छ,mi tain yu smjhnu ch,मुझे यह समझना है,I have to understand this.
क्या तुम समझै सकदा?,kyaa tum smjhai skdaa?,क्या तुम समझा सकते हो?,Can you explain?
"हाँ, मी समझै सकदू छौं","haan, mee smjhai skdoo chhaun","हाँ, मैं समझा सकता हूँ","Yes, I can explain."
मि तैं यु नी पता छै,mi tain yu nee ptaa chhai,मुझे यह नहीं पता था,I didn't know this.
मि तैं अब पता चल्युं,mi tain ab ptaa chlyun,मुझे अब पता चला,I just found out.
क्या तुम गुस्सै छा?,kyaa tum gussai chhaa?,क्या तुम गुस्सा हो?,Are you angry?
"हाँ, मी गुस्सै छौं","haan, mee gussai chhaun","हाँ, मैं गुस्सा हूँ","Yes, I am angry."
शांत है जावा,shaant hai jaavaa,शांत हो जाओ,Calm down.
यु मेरी गलती छ,yu meree gltee ch,यह मेरी गलती है,This is my mistake.
यु तेरी गलती छ,yu teree gltee ch,यह तुम्हारी गलती है,This is your mistake.
मि तैं माफ करि द्या,mi tain maaph kri dyaa,मुझे माफ कर दो,Forgive me.
कछु नी,kchhu nee,कोई बात नहीं,No problem.
क्या तुम बीमार छा?,kyaa tum beemaar chhaa?,क्या तुम बीमार हो?,Are you sick?
"हाँ, मी बीमार छौं","haan, mee beemaar chhaun","हाँ, मैं बीमार हूँ","Yes, I am sick."
मि तैं बुखार छ,mi tain bukhaar ch,मुझे बुखार है,I have a fever.
मि तैं खाँसण छ,mi tain khaansn ch,मुझे खांसी है,I have a cough.
मि तैं जुकाम छ,mi tain jukaam ch,मुझे जुकाम है,I have a cold.
डॉक्टर का पास जावा,dॉktr kaa paas jaavaa,डॉक्टर के पास जाओ,Go to the doctor.
दवाई ल्या,dvaaee lyaa,दवाई लो,Take medicine.
आराम करा,aaraam kraa,आराम करो,Rest.
क्या तुम ठीक छा?,kyaa tum theek chhaa?,क्या तुम ठीक हो?,Are you okay?
"हाँ, मी ठीक छौं","haan, mee theek chhaun","हाँ, मैं ठीक हूँ","Yes, I am okay."
यु कब तलक ठीक होलु?,yu kb tlk theek holu?,यह कब तक ठीक हो जाएगा?,When will this be okay?
जल्द ही ठीक होलु,jld hee theek holu,जल्द ही ठीक हो जाएगा,It will be okay soon.
मि तैं मदद छाही,mi tain mdd chaahee,मुझे मदद चाहिए,I need help.
मी तुमरी मदद करुलुं,mee tumree mdd krulun,मैं तुम्हारी मदद करूँगा,I will help you.
मि तैं पाणी छाही,mi tain paanee chaahee,मुझे पानी चाहिए,I need water.
मि तैं खाणू छाही,mi tain khaanoo chaahee,मुझे खाना चाहिए,I need food.
मि तैं नींद औंदी छ,mi tain neend aundee ch,मुझे नींद आ रही है,I am feeling sleepy.
क्या तुम सुतौला?,kyaa tum sutaulaa?,क्या तुम सोओगे?,Will you sleep?
"हाँ, मी सुतुलुं","haan, mee sutulun","हाँ, मैं सोऊँगा","Yes, I will sleep."
मी नी सुतुलुं,mee nee sutulun,मैं नहीं सोऊँगा,I will not sleep.
मि तैं जाणु छ,mi tain jaanu ch,मुझे जाना है,I have to go.
कख जानू छा?,kkh jaanoo chhaa?,कहाँ जा रहे हो?,Where are you going?
मी घौर जानू छौं,mee ghaur jaanoo chhaun,मैं घर जा रहा हूँ,I am going home.
मी बाजार जानू छौं,mee baajaar jaanoo chhaun,मैं बाजार जा रहा हूँ,I am going to the market.
मी अपणा दगड्या का पास जानू छौं,mee apnaa dgdyaa kaa paas jaanoo chhaun,मैं अपने दोस्त के पास जा रहा हूँ,I am going to my friend's place.
तुम कब औंदा?,tum kb aundaa?,तुम कब आओगे?,When will you come?
मी थोड़ी देर मा औंदुं,mee thodee der maa aundun,मैं थोड़ी देर में आऊँगा,I will come in a while.
मी जल्दी औंदुं,mee jldee aundun,मैं जल्दी आऊँगा,I will come soon.
मी आज नी औंदुं,mee aaj nee aundun,मैं आज नहीं आऊँगा,I will not come today.
मी भोल औंदुं,mee bhol aundun,मैं कल आऊँगा,I will come tomorrow.
तुम क्या छाणा छा?,tum kyaa chaanaa chhaa?,तुम क्या चाहते हो?,What do you want?
मि तैं यु छाही,mi tain yu chaahee,मुझे यह चाहिए,I want this.
मि तैं वु छाही,mi tain vu chaahee,मुझे वह चाहिए,I want that.
मि तैं कछु नी छाही,mi tain kchhu nee chaahee,मुझे कुछ नहीं चाहिए,I want nothing.
तुम क्या करणू छा?,tum kyaa krnoo chhaa?,तुम क्या कर रहे हो?,What are you doing?
मी पढ़णू छौं,mee pdhnoo chhaun,मैं पढ़ रहा हूँ,I am studying.
मी खेलणू छौं,mee khelnoo chhaun,मैं खेल रहा हूँ,I am playing.
मी खाणू बणाणू छौं,mee khaanoo bnaanoo chhaun,मैं खाना बना रहा हूँ,I am cooking.
मी टीवी देखणू छौं,mee teevee dekhnoo chhaun,मैं टीवी देख रहा हूँ,I am watching TV.
मी काम करणू छौं,mee kaam krnoo chhaun,मैं काम कर रहा हूँ,I am working.
तुम कख जानू छा?,tum kkh jaanoo chhaa?,तुम कहाँ जा रहे हो?,Where are you going?
मी गाँव जानू छौं,mee gaanv jaanoo chhaun,मैं गाँव जा रहा हूँ,I am going to the village.
मी शहर जानू छौं,mee shhr jaanoo chhaun,मैं शहर जा रहा हूँ,I am going to the city.
तुम कख बटी ऐछी?,tum kkh btee ai?,तुम कहाँ से आए?,Where did you come from?
मी घौर बटी ऐछी छौं,mee ghaur btee ai chhaun,मैं घर से आया हूँ,I came from home.
मी काम बटी ऐछी छौं,mee kaam btee ai chhaun,मैं काम से आया हूँ,I came from work.
यु ब्योली भलू छ,yu byolee bhloo ch,यह बहुत अच्छा है,This is very good.
यु ब्योली खराब छ,yu byolee khraab ch,यह बहुत बुरा है,This is very bad.
यु ब्योली स्वाणू छ,yu byolee svaanoo ch,यह बहुत सुंदर है,This is very beautiful.
यु ब्योली बड़ु छ,yu byolee bdu ch,यह बहुत बड़ा है,This is very big.
यु ब्योली छोटु छ,yu byolee chhotu ch,यह बहुत छोटा है,This is very small.
क्या तुम खुश छा?,kyaa tum khush chhaa?,क्या तुम खुश हो?,Are you happy?
"हाँ, मी ब्योली खुश छौं","haan, mee byolee khush chhaun","हाँ, मैं बहुत खुश हूँ","Yes, I am very happy."
"न, मी खुश नी छौं","n, mee khush nee chhaun","नहीं, मैं खुश नहीं हूँ","No, I am not happy."
तुम क्या कराला?,tum kyaa kraalaa?,तुम क्या करोगे?,What will you do?
मी यु करुलुं,mee yu krulun,मैं यह करूँगा,I will do this.
मी वु करुलुं,mee vu krulun,मैं वह करूँगा,I will do that.
मी कछु नी करुलुं,mee kchhu nee krulun,मैं कुछ नहीं करूँगा,I will do nothing.
तुम कख जावा?,tum kkh jaavaa?,तुम कहाँ जाओगे?,Where will you go?
मी घौर जांदुं,mee ghaur jaandun,मैं घर जाऊँगा,I will go home.
मी बाजार जांदुं,mee baajaar jaandun,मैं बाजार जाऊँगा,I will go to the market.
मी सुतुलुं,mee sutulun,मैं सोऊँगा,I will sleep.
मी खालुं,mee khaalun,मैं खाऊँगा,I will eat.
मी पीलूं,mee peeloon,मैं पीऊँगा,I will drink.
मी देखुलुं,mee dekhulun,मैं देखूँगा,I will see.
मी सुणुलुं,mee sunulun,मैं सुनूँगा,I will listen.
यु कु छ?,yu ku ch?,यह कौन है?,Who is this?
यु म्यार भैजी/भुला छ,yu myaar bhaijee/bhulaa ch,यह मेरा भाई है,This is my brother.
यु म्यार दीदी/भुली छ,yu myaar deedee/bhulee ch,यह मेरी बहन है,This is my sister.
यु म्यार बुबा छन,yu myaar bubaa chhn,यह मेरे पिता हैं,This is my father.
यु म्यार ब्वै छन,yu myaar bvai chhn,यह मेरी माता हैं,This is my mother.
तुम कख रेंदा छा?,tum kkh rendaa chhaa?,तुम कहाँ रहते हो?,Where do you live?
मी देहरादून मा रेंदुं छौं,mee dehradun maa rendun chhaun,मैं देहरादून में रहता हूँ,I live in dehradun.
तेरु गाँव कख छ?,Teru gaon kakh ch?,तुम्हारा गाँव कहाँ है?,Where is your village?
म्यार गाँव भाडूली छ,Myar gaon bhaduli ch.,मेरा गाँव भाडूली है,My village is bhaduli.
यु कदगा दूर छ?,Yu kadga door ch?,यह कितनी दूर है?,How far is it?
यु 10 दिन दूर छ,Yu 10 din door ch.,यह 10 दिन दूर है,It is 10 days away.
मी त्वैं समझैलुं,mi tvain samjhaailun.,मैं तुम्हें समझाऊँगा,I will explain to you.
कृपया मि तैं याद दिलावा,Kripya mi tain yaad dilawa.,कृपया मुझे याद दिलाना,Please remind me.
मी ये तैं लिखी ल्युलुं,mi ye tain likhi lyulun.,मैं इसे लिख लूँगा,I will write this down.
दरवाजा खोला,Darwaja khola.,दरवाजा खोलो,Open the door.
दरवाजा बंद करा,Darwaja band kara.,दरवाजा बंद करो,Close the door.
खिड़की खोला,Khidki khola.,खिड़की खोलो,Open the window.
खिड़की बंद करा,Khidki band kara.,खिड़की बंद करो,Close the window.
पंखा चलावा,Pankha chalawa.,पंखा चलाओ,Turn on the fan.
पंखा बंद करा,Pankha band kara.,पंखा बंद करो,Turn off the fan.
बिजली जलावा,Bijli jalawa.,बिजली चलाओ,Turn on the light.
बिजली बुझावा,Bijli bujhawa.,बिजली बंद करो,Turn off the light.
मि तैं बैठणु छ,mi tain baithanu ch.,मुझे बैठना है,I want to sit.
मि तैं खड़ा होणु छ,mi tain khada honu ch.,मुझे खड़ा होना है,I want to stand.
मि तैं चलणु छ,mi tain chalanun ch.,मुझे चलना है,I want to walk.
मि तैं दौड़णु छ,mi tain daudanu ch.,मुझे दौड़ना है,I want to run.
मि तैं सुतणु छ,mi tain sutanun ch.,मुझे सोना है,I want to sleep.
क्या तुम सच बोलणू छा?,Kya tum sach bolanun chaa?,क्या तुम सच बोल रहे हो?,Are you telling the truth?
"हाँ, मी सच बोलणू छौं","Haan, mi sach bolanun chaun.","हाँ, मैं सच बोल रहा हूँ","Yes, I am telling the truth."
"न, मी झूठ बोलणू छौं","Na, mi jhooth bolanun chaun.","नहीं, मैं झूठ बोल रहा हूँ","No, I am lying."
यु एक भलू विछार छ,Yu ek bhlu vichar ch.,यह एक अच्छा विचार है,This is a good idea.
यु एक खराब विछार छ,Yu ek kharab vichar ch.,यह एक बुरा विचार है,This is a bad idea.
मि तैं येकी जरूरत छ,mi tain yeki jarurat ch.,मुझे इसकी जरूरत है,I need this.
मि तैं येकी जरूरत नी छ,mi tain yeki jarurat ni ch.,मुझे इसकी जरूरत नहीं है,I don't need this.
मी थकी गयुं छौं,mi thaki gayun chaun.,मैं थक गया हूँ,I am tired.
मी खुश छौं,mi khush chaun.,मैं खुश हूँ,I am happy.
मी दुखि छौं,mi dukhi chaun.,मैं दुखी हूँ,I am sad.
मी गुस्सै छौं,mi gussai chaun.,मैं गुस्सा हूँ,I am angry.
मी डर्यूं छौं,mi dar yun chaun.,मैं डरा हुआ हूँ,I am scared.
मी हैरान छौं,mi hairan chaun.,मैं हैरान हूँ,I am surprised.
मि तैं यु पता छै,mi tain yu pata chai.,मुझे यह पता था,I knew this.
मि तैं यु नी पता छै,mi tain yu ni pata chai.,मुझे यह नहीं पता था,I didn't know this.
मि तैं कछु बोलणु छ,mi tain kachu bolanun ch.,मुझे कुछ कहना है,I have something to say.
तुम कख जानू छा?,Tum kakh janu chaa?,तुम कहाँ जा रहे हो?,Where are you going?
मी बाजार जानू छौं,mi bazaar janu chaun.,मैं बाजार जा रहा हूँ,I am going to the market.
मी मंदिर जानू छौं,mi mandir janu chaun.,मैं मंदिर जा रहा हूँ,I am going to the temple.
मी अस्पताल जानू छौं,mi aspataal janu chaun.,मैं अस्पताल जा रहा हूँ,I am going to the hospital.
मी बैंक जानू छौं,mi bank janu chaun.,मैं बैंक जा रहा हूँ,I am going to the bank.
मि तैं देर होलै,mi tain der holai.,मुझे देर हो रही है,I am getting late.
मि तैं जल्दी करणी छ,mi tain jaldi karni ch.,मुझे जल्दी करनी है,I need to hurry.
क्या तुम औई सकदा?,Kya tum ooi sakda?,क्या तुम आ सकते हो?,Can you come?
"हाँ, मी औई सकदू छौं","Haan, mi ooi sakdu chaun.","हाँ, मैं आ सकता हूँ","Yes, I can come."
"न, मी नी औई सकदू","Na, mi ni ooi sakdu.","नहीं, मैं नहीं आ सकता","No, I cannot come."
मि तैं जाणु होलु,mi tain janu holu.,मुझे जाना होगा,I have to go.
मी बाद मा मीलुलुं,mi baad ma milulun.,मैं बाद में मिलूँगा,I will meet later.
क्या तुम खाली छा?,Kya tum khaali chaa?,क्या तुम खाली हो?,Are you free?
"हाँ, मी खाली छौं","Haan, mi khaali chaun.","हाँ, मैं खाली हूँ","Yes, I am free."
क्या तुम व्यस्त छा?,Kya tum vyast chaa?,क्या तुम व्यस्त हो?,Are you busy?
"हाँ, मी व्यस्त छौं","Haan, mi vyast chaun.","हाँ, मैं व्यस्त हूँ","Yes, I am busy."
मि तैं यु पसंद छ,mi tain yu pasand ch.,मुझे यह पसंद है,I like this.
मि तैं यु पसंद नी छ,mi tain yu pasand ni ch.,मुझे यह पसंद नहीं है,I don't like this.
क्या तुम ठीक छा?,Kya tum theek chaa?,क्या तुम ठीक हो?,Are you okay?
"हाँ, मी ठीक छौं","Haan, mi theek chaun.","हाँ, मैं ठीक हूँ","Yes, I am okay."
क्या हैइ?,Kya haii?,क्या हुआ?,What happened?
कछु नी हैइ,Kachu ni haii.,कुछ नहीं हुआ,Nothing happened.
मि तैं जाणदू,mi tain jaandu.,मुझे पता है,I know.
मि तैं कुजाणी,mi tain kujani.,मुझे नहीं पता,I don't know.
तुम किलै हंसणू छा?,Tum kilai hansanu chaa?,तुम क्यों हँस रहे हो?,Why are you laughing?
मी खुश छौं युं कारण हंसणू छौं,mi khush chaun yun kaaran hansanu chaun.,मैं खुश हूँ इसलिए हँस रहा हूँ,"I am happy, so I am laughing."
तुम किलै रोणू छा?,Tum kilai ronu chaa?,तुम क्यों रो रहे हो?,Why are you crying?
मी दुखि छौं युं कारण रोणू छौं,mi dukhi chaun yun kaaran ronu chaun.,मैं दुखी हूँ इसलिए रो रहा हूँ,"I am sad, so I am crying."
क्या तुम तैयार छा?,Kya tum taiyar chaa?,क्या तुम तैयार हो?,Are you ready?
"हाँ, मी तैयार छौं","Haan, mi taiyar chaun.","हाँ, मैं तैयार हूँ","Yes, I am ready."
"न, मी तैयार नी छौं","Na, mi taiyar ni chaun.","नहीं, मैं तैयार नहीं हूँ","No, I am not ready."
आम कख जानू छां?,Aam kakh janu chaan?,हम कहाँ जा रहे हैं?,Where are we going?
आम घौर जानू छां,Aam ghor janu chaan.,हम घर जा रहे हैं,We are going home.
आम घुमणू जानू छां,Aam ghumanu janu chaan.,हम घूमने जा रहे हैं,We are going for a walk/trip.
तुम क्या करणू छा?,Tum kya karanu chaa?,तुम क्या कर रहे हो?,What are you doing?
मी कछु नी करणू छौं,mi kachu ni karanu chaun.,मैं कुछ नहीं कर रहा हूँ,I am doing nothing.
यु मेरु छ,Yu meru ch.,यह मेरा है,This is mine.
यु तेरु छ,Yu teru ch.,यह तुम्हारा है,This is yours.
यु तेकु छ,Yu teku ch.,यह उसका है,This is his/hers.
यु हमारु छ,Yu hamaru ch.,यह हमारा है,This is ours.
यु उनकु छ,Yu unku ch.,यह उनका है,This is theirs.
क्या तुम म्यार दगड़ी बात करि सकदा?,Kya tum myar dagdi baat kari sakda?,क्या तुम मुझसे बात कर सकते हो?,Can you talk to me?
"हाँ, मी करि सकदू छौं","Haan, mi kari sakdu chaun.","हाँ, मैं कर सकता हूँ","Yes, I can."
"न, मी नी करि सकदू","Na, mi ni kari sakdu.","नहीं, मैं नहीं कर सकता","No, I cannot."
मि तैं उठणु छ,mi tain uthanu ch.,मुझे उठना है,I want to wake up.
मि तैं न्हौणु छ,mi tain nhaunu ch.,मुझे नहाना है,I want to bathe.
मि तैं पूजा करणी छ,mi tain pooja karni ch.,मुझे पूजा करनी है,I want to worship.
मि तैं पढ़ाई करणी छ,mi tain padhai karni ch.,मुझे पढ़ाई करनी है,I want to study.
मि तैं खेलणु छ,mi tain khelanu ch.,मुझे खेलना है,I want to play.
मि तैं गाणु छ,mi tain gaanu ch.,मुझे गाना है,I want to sing.
मि तैं नाचणु छ,mi tain nachanu ch.,मुझे नाचना है,I want to dance.
मि तैं जाणु छ,mi tain janu ch.,मुझे जाना है,I have to go.
मि तैं औणु छ,mi tain aun nu ch.,मुझे आना है,I have to come.
क्या टाइम होलु छ?,Kya time holu ch?,क्या समय हुआ है?,What is the time?
6 बजी छन,6 baji chhan.,6 बजे हैं,It is 6 o'clock.
सबेरे का 6 बजी छन,Sabere ka 6 baji chhan.,सुबह के 6 बजे हैं,It is 6 o'clock in the morning.
सांझ का 6 बजी छन,Saanjh ka 6 baji chhan.,शाम के 6 बजे हैं,It is 6 o'clock in the evening.
यु एक भलू दिन छ,Yu ek bhlu din ch.,यह एक अच्छा दिन है,This is a good day.
यु एक खराब दिन छ,Yu ek kharab din ch.,यह एक बुरा दिन है,This is a bad day.
मि तैं खुशी छ,mi tain khushi ch.,मुझे खुशी है,I am happy.
मि तैं दुख छ,mi tain dukh ch.,मुझे दुख है,I am sad.
